answer_type,label,title,avg_monthly,views_12m,months,rejection_reason,panel_accuracy,question,answer,source_file
Date,not_long_tail,2022_FIFA_World_Cup_qualification_(AFC),5175.5,62106,12,second_stage_grading_accuracy_threshold_exceeded,,"On what month, day, and year was the second leg of the fourth round originally scheduled in the 2022 FIFA World Cup qualification (AFC)?","November 16, 2021",01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Paulina_Porizkova,36223.333333333336,434680,12,search_longtail_verifier_rejected,,In what year did Paulina Porizkova appear in the film 'Arizona Dream'?,1993,01_date_1700_topup_1_rejected.jsonl
Number,long_tail,Judeo-Berber_language,728.0,8736,12,,0.0,How many native speakers of the Judeo-Berber language were there in 2023?,200,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,The_Beast_in_the_East,2709.6666666666665,32516,12,,0.0,What was the duration in minutes and seconds of the longest match at The Beast in the East wrestling event?,23,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,Carlos_Bocanegra,3708.3333333333335,44500,12,,0.0,How many league appearances did Carlos Bocanegra make for Fulham during his entire time at the club?,115,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,2011_Major_League_Baseball_draft,4405.0,52860,12,,0.0,How many players selected in the supplemental first round of the 2011 Major League Baseball draft were right-handed pitchers?,9,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,Perth_Football_Club,744.0833333333334,8929,12,,0.0,How many premiership wins does the Perth Football Club have in the West Australian Football League Men's Reserves competition?,13,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,Independent_Labour_Party,5001.583333333333,60019,12,,0.0,How many delegates attended the Founding Conference of the Independent Labour Party in 1893?,120,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,Adore_(album),8871.166666666666,106454,12,,0.0,What was the peak chart position of the fourth studio album by the American alternative rock band the Smashing Pumpkins on the Swiss Albums chart in 1998?,13,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,The_Remains_of_the_Day_(film),31304.833333333332,375658,12,,0.0,What is the total length in minutes and seconds of the soundtrack for the film The Remains of the Day?,49,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,New_York's_20th_congressional_district,2372.5833333333335,28471,12,,0.0,"In the 2016 United States Senate election in New York's 20th congressional district, what was the percentage of votes received by Schumer?",67,01_number_2000_topup_1_accepted.jsonl
Number,long_tail,Quinn_Hughes,109773.08333333333,1317277,12,,0.0,How many years did Quinn Hughes serve as captain of the Vancouver Canucks?,2,01_number_2000_topup_1_accepted.jsonl
Number,not_long_tail,EuroBasket,32072.833333333332,384874,12,second_stage_grading_accuracy_threshold_exceeded,,How many teams participate in the main international basketball competition for the senior men's national teams of primarily European countries?,24,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,United_States_federal_executive_departments,22135.333333333332,265624,12,second_stage_grading_accuracy_threshold_exceeded,,How many years after its formation was the Department of War removed from the United States federal executive Cabinet?,158,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,Hyman_G._Rickover,10569.083333333334,126829,12,second_stage_grading_accuracy_threshold_exceeded,,For how many years did Hyman G. Rickover serve in the United States Navy?,64,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,2003_Major_League_Baseball_season,2907.25,34887,12,search_longtail_verifier_rejected,,How many times did Mark Prior win the National League Pitcher of the Month award during the 2003 Major League Baseball season?,2,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,Come_On_Over,10952.0,131424,12,second_stage_grading_accuracy_threshold_exceeded,,What was the peak chart position of the album Come On Over on the US Billboard 200 chart?,2,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,Colin_Kazim-Richards,6615.25,79383,12,second_stage_grading_accuracy_threshold_exceeded,,How many league appearances did Colin Kazim-Richards make for Derby County during his senior career?,61,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,2022_NCAA_Division_I_FCS_football_season,1285.3333333333333,15424,12,second_stage_grading_accuracy_threshold_exceeded,,How many schools changed their conference affiliation from a Division II conference to an FCS conference in the 2022 NCAA Division I FCS football season?,3,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,Superettan,6213.333333333333,74560,12,search_longtail_verifier_rejected,,In which season did the team IF Brommapojkarna win the Superettan league?,2017,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,Finnish_Air_Force,18995.416666666668,227945,12,second_stage_grading_accuracy_threshold_exceeded,,How many Thales GroundMaster 403 long range mobile air surveillance radars are in the Finnish Air Force?,12,01_number_2000_topup_1_rejected.jsonl
Number,not_long_tail,The_King_of_Queens,47653.0,571836,12,second_stage_grading_accuracy_threshold_exceeded,,How many episodes are included in the complete sixth season DVD set of The King of Queens?,24,01_number_2000_topup_1_rejected.jsonl
Other,long_tail,High_Hopes_(Pink_Floyd_song),4840.166666666667,58082,12,,0.0,Which music chart did the closing track on Pink Floyd's fourteenth studio album reach the highest peak position on in 1994?,French SNEP Singles Chart,03_other_2000_accepted.jsonl
Other,long_tail,African_Cross_Country_Championships,64.5,774,12,,0.0,What is the name of the venue where the 6th edition of the African Cross Country Championships was held?,Yasmine Hammamet,03_other_2000_accepted.jsonl
Other,long_tail,Abère,31.0,372,12,,0.0,What is the name of the mayor who served in Abère from 2008 to 2014?,Claude Conte-Hourticq,03_other_2000_accepted.jsonl
Other,long_tail,Voiced_retroflex_affricate,1289.5833333333333,15475,12,,0.0,In which language is the word meaning 'chain' that contains the voiced retroflex affricate found?,Khowar,03_other_2000_accepted.jsonl
Other,long_tail,Wynnum_Manly_Seagulls,507.5833333333333,6091,12,,0.0,What was the Wynnum Manly Seagulls' finals series result in the year they finished 1st on the ladder in 2012?,Premiers,03_other_2000_accepted.jsonl
Other,long_tail,RIM-8_Talos,3946.5833333333335,47359,12,,0.0,What type of radar was included in the fleet inventory of the USS Oklahoma City when it was commissioned as CLG-5?,AN/SPG-49 RADAR,03_other_2000_accepted.jsonl
Other,long_tail,2014_Women's_Rugby_World_Cup,3003.1666666666665,36038,12,,0.0,What is the designation given to teams that advance to the semi-finals in the pool stage of the seventh edition of the Women's Rugby World Cup?,Qualified for semi-finals,03_other_2000_accepted.jsonl
Other,long_tail,Crank_Yankers,5403.666666666667,64844,12,,0.0,Which episode title from Season 2 of Crank Yankers features a call where a character named George contacts a nutrition center about swollen testicles?,Jeff Garlin & Gilbert Gottfried,03_other_2000_accepted.jsonl
Other,long_tail,The_Slipper_and_the_Rose,3354.6666666666665,40256,12,,0.0,Which award did Annette Crosbie win for her role in The Slipper and the Rose?,Best Actress,03_other_2000_accepted.jsonl
Other,long_tail,Football_at_the_Mediterranean_Games,748.75,8985,12,,0.0,Which organization is responsible for organizing the football tournament at the Mediterranean Games?,CIJM,03_other_2000_accepted.jsonl
Other,not_long_tail,2011_Kazakhstan_Premier_League,69.5,834,12,second_stage_grading_accuracy_threshold_exceeded,,What was the result of the home match played by Astana against Irtysh Pavlodar in the 2011 Kazakhstan Premier League top six matches?,5–1,03_other_2000_rejected.jsonl
Other,not_long_tail,Krymchak_language,871.6666666666666,10460,12,second_stage_grading_accuracy_threshold_exceeded,,What is the Krymchak word for the English term 'shield'?,kalkan,03_other_2000_rejected.jsonl
Other,not_long_tail,Heart_murmur,9784.416666666666,117413,12,second_stage_grading_accuracy_threshold_exceeded,,What is the murmur description for a Levine scale grade 5 heart murmur?,Loud with a palpable thrill. So loud that it is audible with only the rim of the stethoscope touching the chest.,03_other_2000_rejected.jsonl
Other,not_long_tail,Tupong_(state_constituency),54.0,648,12,second_stage_grading_accuracy_threshold_exceeded,,What political party was Daud Abdul Rahman affiliated with during his terms as the Member of the Legislative Assembly for Tupong?,BN,03_other_2000_rejected.jsonl
Other,not_long_tail,United_States_presidential_elections_in_Alaska,3817.0833333333335,45805,12,second_stage_grading_accuracy_threshold_exceeded,,What political party has Alaska voted for the least number of times in United States presidential elections?,other,03_other_2000_rejected.jsonl
Other,not_long_tail,Beijing_Mandarin_(division_of_Mandarin),931.8333333333334,11182,12,second_stage_grading_accuracy_threshold_exceeded,,What is the tonal value of the dark level tone in the Jingshi subdivision of Beijing Mandarin?,˥,03_other_2000_rejected.jsonl
Other,not_long_tail,Ichthyosis,8398.75,100785,12,second_stage_grading_accuracy_threshold_exceeded,,What medical specialty is primarily concerned with the treatment of ichthyosis?,Dermatology,03_other_2000_rejected.jsonl
Other,not_long_tail,Joint_Chiefs_of_Staff_Committee,1462.5,17550,12,second_stage_grading_accuracy_threshold_exceeded,,What is the parent agency of the Joint Chiefs of Staff Committee?,Ministry of Defense,03_other_2000_rejected.jsonl
Other,not_long_tail,Filipe_Albuquerque,965.3333333333334,11584,12,second_stage_grading_accuracy_threshold_exceeded,,What is the entrant name for Filipe Albuquerque's team in the 2007 GP2 Series where he participated in races such as BHR FEA and SIL SPR?,Racing Engineering,03_other_2000_rejected.jsonl
Other,not_long_tail,NBA_Live,6259.166666666667,75110,12,second_stage_grading_accuracy_threshold_exceeded,,What feature was introduced in the 1992 game Bulls vs Lakers and the NBA Playoffs that enhanced gameplay with team cooperation and replay capabilities?,"Co-operative play, instant replay in team game",03_other_2000_rejected.jsonl
Person,long_tail,List_of_Chicago_Cubs_owners_and_executives,643.0833333333334,7717,12,,0.0,Who was the general manager of the Chicago Cubs during the 1981 season?,Herman Franks,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,Brazil_at_the_2007_Pan_American_Games,46.916666666666664,563,12,,0.0,Who was the flag bearer for Brazil at the 2007 Pan American Games held in Rio de Janeiro?,Vanderlei Cordeiro de Lima,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,Ahn_Jung-hwan,6473.833333333333,77686,12,,0.0,Who won the Top Excellence Award in Variety Show at the 2021 MBC Entertainment Awards?,Ahn Jung-hwan,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,List_of_Privy_Council_orders,91.0,1092,12,,0.0,Who was appointed as Governor of the British Broadcasting Corporation in the Privy Council order made on 26 July 1995 at Buckingham Palace?,Lord Nicholas Charles Gordon Lennox,01_person_2000_accepted.jsonl
Person,long_tail,1992_New_York_Yankees_season,,,0,,0.0,Which player had the highest batting average among the other batters for the 1992 New York Yankees?,Hensley Meulens,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,The_Hughleys,3646.9166666666665,43763,12,,0.0,Who co-created the American television sitcom that aired on ABC from 1998 to 2000 and on UPN from 2000 to 2002?,D. L. Hughley,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,Barrie,7871.833333333333,94462,12,,0.0,Who is the person associated with the hockey club established in 1995 that plays in the OHL at Sadlon Arena?,Barrie Colts,01_person_2000_accepted.jsonl
Person,long_tail,2016–17_SHL_season,81.91666666666667,983,12,,0.0,Who was named the Playoffs MVP in the 42nd season of the Swedish Hockey League?,Simon Önerud,01_person_2000_topup_1_accepted.jsonl
Person,long_tail,Fleet_Marine_Force,2344.75,28137,12,,0.0,Who was the Major General that served as Commanding General of the Fleet Marine Force starting in September 1939 and ending in December 1941?,William P. Upshur,01_person_2000_accepted.jsonl
Person,long_tail,Aulong_(state_constituency),101.33333333333333,1216,12,,0.0,Who was the Perak State Legislative Assemblyman for Aulong during the 11th Assembly from 2004 to 2008?,Ng Chii Fa,01_person_2000_topup_1_accepted.jsonl
Person,not_long_tail,French_occupation_of_Malta,1795.25,21543,12,second_stage_grading_accuracy_threshold_exceeded,,"Who was the president of the Canton of Mdina, Rabat and Dingli during the French occupation of Malta?",Grégorio Bonici,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,Three_Sisters_(play),10223.916666666666,122687,12,second_stage_grading_accuracy_threshold_exceeded,,"Who is the author of the play that features the Prozorov family characters Olga Sergeyevna Prozorova, Maria Sergeyevna Kulygina, Irina Sergeyevna Prozorova, and Andrei Sergeyevich Prozorov?",Anton Chekhov,01_person_2000_rejected.jsonl
Person,not_long_tail,Idaho's_congressional_delegations,401.5,1606,4,second_stage_grading_accuracy_threshold_exceeded,,Who served as the delegate from Idaho's at-large district to the United States House of Representatives during the 48th Congress from 1883 to 1885?,Theodore Frelinghuysen Singiser,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,XXXTentacion_discography,16317.083333333334,195805,12,search_longtail_verifier_rejected,,"Who collaborated with XXXTentacion on the mixtape titled 'Members Only, Vol. 1'?",Ski Mask the Slump God,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,Bad_Day_(Daniel_Powter_song),7134.416666666667,85613,12,second_stage_grading_accuracy_threshold_exceeded,,Who is the Canadian singer-songwriter of the pop song that reached number 1 on the Ireland (IRMA) and Scotland Singles (OCC) charts in 2005–2006?,Daniel Powter,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,APAN_Star_Awards,1624.3333333333333,19492,12,second_stage_grading_accuracy_threshold_exceeded,,Who won the Best Supporting Actress award at the APAN Star Awards for the drama 'Hellbound'?,Kim Shin-rok,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,2008_Montana_gubernatorial_election,1018.75,12225,12,second_stage_grading_accuracy_threshold_exceeded,,Who was the Democratic candidate in the 2008 Montana gubernatorial election according to the polling data?,Brian Schweitzer,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,Leatherman,4423.666666666667,53084,12,second_stage_grading_accuracy_threshold_exceeded,,"Who is the chairman of the board and co-founder of Leatherman Tool Group, Inc.?",Tim Leatherman,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,Murum_(state_constituency),35.833333333333336,430,12,second_stage_grading_accuracy_threshold_exceeded,,Who was the member of the Sarawak State Legislative Assembly representing Murum during the 18th Assembly from 2016 to 2018?,Chukpai Ugon,01_person_2000_topup_1_rejected.jsonl
Person,not_long_tail,Kehlani,82868.58333333333,994423,12,second_stage_grading_accuracy_threshold_exceeded,,Who won the Billboard Women in Music Rulebreaker Award in 2017?,Themself,01_person_2000_rejected.jsonl
Place,long_tail,Pain_in_crustaceans,3215.9166666666665,38591,12,,0.0,"Which country or region has legislation protecting octopuses, squids, crabs, lobsters, and crayfish in research?",New Zealand,02_place_2000_accepted.jsonl
Place,long_tail,Russell_Senate_Office_Building,1685.25,20223,12,,0.0,Which U.S. state is represented by the senator who has an office in Room 478 of the Russell Senate Office Building?,New York,02_place_2000_accepted.jsonl
Place,long_tail,Treyarch,10043.083333333334,120517,12,,0.0,Which gaming console platform was the 2001 game Spider-Man ported to by Neversoft?,Dreamcast,02_place_2000_accepted.jsonl
Place,long_tail,List_of_recessions_in_the_United_States,17357.666666666668,208292,12,,0.0,During which geographic region did economic activity remain stagnant for three years following the Panic of 1796–1797?,Northern United States,02_place_2000_topup_1_accepted.jsonl
Place,long_tail,Gigantour,998.3333333333334,11980,12,,0.0,"In which Canadian city was the Gigantour concert held on April 29, 2008?",Montreal,02_place_2000_accepted.jsonl
Place,long_tail,Turkish_diaspora,4244.5,50934,12,,0.0,In which country was the HDP party represented during the November 2015 Turkish general election?,Italy,02_place_2000_accepted.jsonl
Place,long_tail,Follow-on,4594.083333333333,55129,12,,0.0,"In a cricket match follow-on sequence, which team's second innings is played immediately after their first innings?",Team B,02_place_2000_accepted.jsonl
Place,long_tail,"California_State_University,_Chico",3892.5833333333335,46711,12,,0.0,"Which city is associated with the university attended by Sandra Lerner, the co-founder of Cisco Systems?",Chico,02_place_2000_accepted.jsonl
Place,long_tail,FC_Gomel,977.3333333333334,11728,12,,0.0,In which European football competition did FC Gomel play exactly 4 games?,UEFA Intertoto Cup,02_place_2000_accepted.jsonl
Place,long_tail,Coal_gas,4470.583333333333,53647,12,,0.0,In which process phase of coal gas purification are towers using water or oil employed to dissolve ammonia gas and capture light oil vapors?,Wet Purification,02_place_2000_accepted.jsonl
Place,not_long_tail,BFC_Siófok,308.25,3699,12,second_stage_grading_accuracy_threshold_exceeded,,In which division did BFC Siófok finish in 1st place during the 2001–02 season?,2ª,02_place_2000_topup_1_rejected.jsonl
Place,not_long_tail,Eudromaeosauria,1842.75,22113,12,second_stage_grading_accuracy_threshold_exceeded,,Which genus of eudromaeosaur is defined by belonging to the subfamily Dromaeosaurinae by definition?,Dromaeosaurus,02_place_2000_rejected.jsonl
Place,not_long_tail,Nevada_Wolf_Pack_men's_basketball,1761.3333333333333,21136,12,second_stage_grading_accuracy_threshold_exceeded,,In which city did the Nevada Wolf Pack men's basketball team face Texas Tech in the first round of the 2003 National Invitation Tournament?,Lubbock,02_place_2000_topup_1_rejected.jsonl
Place,not_long_tail,2017_in_video_games,4366.416666666667,52397,12,second_stage_grading_accuracy_threshold_exceeded,,Which country had 'Monster Hunter XX' as the best-selling video game in 2017?,Japan,02_place_2000_rejected.jsonl
Place,not_long_tail,TVA_(Canadian_TV_network),1297.9166666666667,15575,12,second_stage_grading_accuracy_threshold_exceeded,,In which city are the headquarters of the Canadian French-language terrestrial television network TVA located?,Montreal,02_place_2000_rejected.jsonl
Place,not_long_tail,Byomkesh_Bakshi,7855.75,94269,12,second_stage_grading_accuracy_threshold_exceeded,,In which city are the majority of Byomkesh Bakshi's detective stories primarily set?,Calcutta,02_place_2000_rejected.jsonl
Place,not_long_tail,List_of_United_States_representatives_from_Arkansas,654.0833333333334,7849,12,second_stage_grading_accuracy_threshold_exceeded,,Which congressional district did Marion Berry represent as a United States representative from Arkansas?,1st,02_place_2000_topup_1_rejected.jsonl
Place,not_long_tail,1973–74_in_English_football,1009.5833333333334,12115,12,second_stage_grading_accuracy_threshold_exceeded,,Which city is represented by the football club that won the Second Division in the 1973–74 season of competitive football in England?,Middlesbrough,02_place_2000_topup_1_rejected.jsonl
Place,not_long_tail,Hocus_Pocus_(1993_film),50236.833333333336,602842,12,second_stage_grading_accuracy_threshold_exceeded,,At which awards ceremony did Mary E. Vogt win the Best Costumes category for the film Hocus Pocus?,Saturn Awards,02_place_2000_topup_1_rejected.jsonl
Place,not_long_tail,Colson_Whitehead,12039.583333333334,144475,12,second_stage_grading_accuracy_threshold_exceeded,,In which city was the author Colson Whitehead born?,New York City,02_place_2000_topup_1_rejected.jsonl
