scope,status,domain,topic,answer_type,question_family,subject_type_qid,subject_type_label,date_property_pid,target_property_pid,target_property_label,answer_format,date_answer_granularity,composition_style,canonical_question_template
blueprint,blueprint,new_trail_country,Geography,Place,which_country_trail_located,Q179049,trail,P571,P17,country,entity,,single_fact,In which country is the trail {descriptor} located?
blueprint,blueprint,law_jurisdiction,Politics and Law,Place,which_jurisdiction_law,Q7748,law,P577,P1001,applies to jurisdiction,entity,,single_fact,To which jurisdiction does the law {descriptor} apply?
blueprint,blueprint,law_legislature,Politics and Law,Organization,which_legislature_passed_law,Q7748,law,P577,P467,legislated by,entity,,single_fact,Which legislature passed the law {descriptor}?
blueprint,blueprint,treaty_signatory_country,Politics and Law,Place,which_country_signed_treaty,Q131569,treaty,P577,P17,country,entity,,single_fact,Which country is associated with the treaty {descriptor}?
blueprint,blueprint,court_case_court,Politics and Law,Organization,which_court_decided_case,Q2334719,legal case,P585,P1591,defendant,entity,,single_fact,Which court decided the case {descriptor}?
blueprint,blueprint,policy_department,Politics and Law,Organization,which_department_issued_policy,Q49884,government policy,P577,P749,parent organization,entity,,single_fact,Which department issued the policy {descriptor}?
blueprint,blueprint,startup_founder,Economy and Business,Person,who_founded_startup,Q4830453,business,P571,P112,founder,entity,,single_fact,Who founded the startup {descriptor}?
blueprint,blueprint,company_headquarters_country,Economy and Business,Place,which_country_company_headquartered,Q783794,company,P571,P17,country,entity,,single_fact,In which country is the company {descriptor} headquartered?
blueprint,blueprint,brand_owner,Economy and Business,Organization,which_company_owns_brand,Q431289,brand,P571,P127,owned by,entity,,single_fact,Which company owns the brand {descriptor}?
blueprint,blueprint,product_manufacturer,Economy and Business,Organization,which_company_manufactured_product,Q2424752,product,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the product {descriptor}?
blueprint,blueprint,exchange_operator,Economy and Business,Organization,which_company_operates_exchange,Q11654,stock exchange,P571,P137,operator,entity,,single_fact,Which company operates the exchange {descriptor}?
blueprint,blueprint,festival_host_city,Society and Culture,Place,which_city_hosts_festival,Q132241,festival,P585,P131,located in administrative territorial entity,entity,,single_fact,Which city hosted {descriptor}?
blueprint,blueprint,museum_founder,Society and Culture,Person,who_founded_museum,Q33506,museum,P571,P112,founder,entity,,single_fact,Who founded the museum {descriptor}?
blueprint,blueprint,award_conferred_by,Society and Culture,Organization,which_body_conferred_award,Q618779,award,P571,P1027,conferred by,entity,,single_fact,Which organization confers the award {descriptor}?
blueprint,blueprint,exhibition_museum,Society and Culture,Organization,which_museum_hosted_exhibition,Q464980,exhibition,P585,P276,location,entity,,single_fact,Which museum hosted the exhibition {descriptor}?
blueprint,blueprint,event_venue,Society and Culture,Place,where_event_held,Q1656682,event,P585,P276,location,entity,,single_fact,Where was {descriptor} held?
blueprint,blueprint,religious_leader_successor,Philosophy and Religion,Person,who_succeeded_religious_leader,Q246434,religious office,P580,P156,followed by,entity,,fact_join,Who succeeded {descriptor}?
blueprint,blueprint,encyclical_author,Philosophy and Religion,Person,who_wrote_encyclical,Q240157,encyclical,P577,P50,author,entity,,single_fact,Who wrote the encyclical {descriptor}?
blueprint,blueprint,religious_text_language,Philosophy and Religion,Language,what_language_religious_text,Q179461,religious text,P577,P364,original language of work,entity,,single_fact,What language was the religious text {descriptor} originally written in?
blueprint,blueprint,temple_country,Philosophy and Religion,Place,which_country_temple_located,Q44539,temple,P571,P17,country,entity,,single_fact,In which country is the temple {descriptor} located?
blueprint,blueprint,philosophy_book_author,Philosophy and Religion,Person,who_wrote_philosophy_book,Q571,book,P577,P50,author,entity,,single_fact,Who wrote the philosophy book {descriptor}?
blueprint,blueprint,poetry_collection_author,Language and Literature,Person,who_wrote_poetry_collection,Q12106333,poetry collection,P577,P50,author,entity,,single_fact,Who wrote the poetry collection {descriptor}?
blueprint,blueprint,book_publisher,Language and Literature,Organization,which_publisher_released_book,Q571,book,P577,P123,publisher,entity,,single_fact,Which publisher released the book {descriptor}?
blueprint,blueprint,novella_original_language,Language and Literature,Language,what_language_novella_originally_written,Q1238720,novella,P577,P364,original language of work,entity,,single_fact,What language was the novella {descriptor} originally written in?
blueprint,blueprint,essay_collection_author,Language and Literature,Person,who_wrote_essay_collection,Q267628,essay collection,P577,P50,author,entity,,single_fact,Who wrote the essay collection {descriptor}?
blueprint,blueprint,literary_magazine_country,Language and Literature,Place,which_country_literary_magazine,Q41298,magazine,P571,P17,country,entity,,single_fact,In which country is the magazine {descriptor} based?
blueprint,blueprint,film_screenwriter,Arts and Media,Person,who_wrote_film,Q11424,film,P577,P58,screenwriter,entity,,single_fact,Who wrote the film {descriptor}?
blueprint,blueprint,film_based_on,Arts and Media,Work,what_work_film_based_on,Q11424,film,P577,P144,based on,entity,,single_fact,What work was the film {descriptor} based on?
blueprint,blueprint,tv_series_creator,Arts and Media,Person,who_created_series,Q5398426,television series,P577,P170,creator,entity,,single_fact,Who created the television series {descriptor}?
blueprint,blueprint,documentary_narrator,Arts and Media,Person,who_narrated_documentary,Q93204,documentary film,P577,P2438,narrator,entity,,single_fact,Who narrated the documentary {descriptor}?
blueprint,blueprint,music_video_director,Arts and Media,Person,who_directed_music_video,Q64100970,music video,P577,P57,director,entity,,single_fact,Who directed the music video {descriptor}?
blueprint,blueprint,podcast_host,Arts and Media,Person,who_hosts_podcast,Q24634210,podcast,P577,P371,presenter,entity,,single_fact,Who hosts the podcast {descriptor}?
blueprint,blueprint,album_label,Arts and Media,Organization,which_label_released_album,Q482994,album,P577,P264,record label,entity,,single_fact,Which label released the album {descriptor}?
blueprint,blueprint,comic_writer,Arts and Media,Person,who_wrote_comic,Q1004,comic,P577,P50,author,entity,,single_fact,Who wrote the comic {descriptor}?
blueprint,blueprint,animation_studio,Arts and Media,Organization,which_studio_produced_animation,Q202866,animated film,P577,P272,production company,entity,,single_fact,Which studio produced the animated film {descriptor}?
blueprint,blueprint,theater_location,Arts and Media,Place,where_theater_located,Q24354,theatre,P571,P17,country,entity,,single_fact,In which country is the theatre {descriptor} located?
blueprint,blueprint,tournament_host_country,Sports and Recreation,Place,which_country_hosted_tournament,Q132241,tournament,P585,P17,country,entity,,single_fact,Which country hosted {descriptor}?
blueprint,blueprint,stadium_architect,Sports and Recreation,Person,who_designed_stadium,Q483110,stadium,P571,P84,architect,entity,,single_fact,Who designed the stadium {descriptor}?
blueprint,blueprint,sports_venue_city,Sports and Recreation,Place,which_city_sports_venue_located,Q1076486,sports venue,P571,P131,located in administrative territorial entity,entity,,single_fact,Which city includes the sports venue {descriptor}?
blueprint,blueprint,club_founder,Sports and Recreation,Person,who_founded_club,Q847017,sports club,P571,P112,founder,entity,,single_fact,Who founded the club {descriptor}?
blueprint,blueprint,competition_venue,Sports and Recreation,Place,where_competition_held,Q16510064,sports competition,P585,P276,location,entity,,single_fact,Where was {descriptor} held?
blueprint,blueprint,graduate_before_employer,Education,Organization,which_university_before_employer,Q5,human,P569,P69,educated at,entity,,fact_join,From which university did {descriptor} graduate before working at {employer_label}?
blueprint,blueprint,degree_granting_university,Education,Organization,which_university_granted_degree,Q189533,degree,P577,P1027,conferred by,entity,,single_fact,Which university grants the degree {descriptor}?
blueprint,blueprint,school_founder,Education,Person,who_founded_school,Q3914,school,P571,P112,founder,entity,,single_fact,Who founded the school {descriptor}?
blueprint,blueprint,curriculum_author,Education,Person,who_wrote_curriculum,Q11774891,curriculum,P577,P50,author,entity,,single_fact,Who wrote the curriculum {descriptor}?
blueprint,blueprint,textbook_publisher,Education,Organization,which_publisher_released_textbook,Q571,textbook,P577,P123,publisher,entity,,single_fact,Which publisher released the textbook {descriptor}?
blueprint,blueprint,math_textbook_author,Mathematics,Person,who_wrote_math_textbook,Q571,book,P577,P50,author,entity,,single_fact,Who wrote the mathematics book {descriptor}?
blueprint,blueprint,math_software_developer,Mathematics,Organization,which_company_developed_math_software,Q7397,software,P577,P178,developer,entity,,single_fact,Which company developed the mathematics software {descriptor}?
blueprint,blueprint,math_paper_journal,Mathematics,Organization,which_journal_published_math_article,Q13442814,scholarly article,P577,P1433,published in,entity,,single_fact,In which journal was the mathematics article {descriptor} published?
blueprint,blueprint,dataset_creator_math,Mathematics,Person,who_created_math_dataset,Q1172284,dataset,P577,P170,creator,entity,,single_fact,Who created the dataset {descriptor}?
blueprint,blueprint,chemistry_article_journal,Physical Sciences,Organization,which_journal_published_chemistry_article,Q13442814,scholarly article,P577,P1433,published in,entity,,single_fact,In which journal was the chemistry article {descriptor} published?
blueprint,blueprint,physics_book_author,Physical Sciences,Person,who_wrote_physics_book,Q571,book,P577,P50,author,entity,,single_fact,Who wrote the physics book {descriptor}?
blueprint,blueprint,instrument_manufacturer,Physical Sciences,Organization,which_company_made_instrument,Q34379,scientific instrument,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the instrument {descriptor}?
blueprint,blueprint,space_telescope_operator,Physical Sciences,Organization,which_agency_operates_telescope,Q2133344,space telescope,P571,P137,operator,entity,,single_fact,Which agency operates the telescope {descriptor}?
blueprint,blueprint,physical_science_dataset_creator,Physical Sciences,Person,who_created_science_dataset,Q1172284,dataset,P577,P170,creator,entity,,single_fact,Who created the physical science dataset {descriptor}?
blueprint,blueprint,genome_project_lead_org,Life Sciences,Organization,which_org_led_genome_project,Q3966,genome project,P577,P749,parent organization,entity,,single_fact,Which organization led the genome project {descriptor}?
blueprint,blueprint,species_described_by,Life Sciences,Person,who_described_species,Q16521,taxon,P577,P405,taxon author,entity,,single_fact,Who described the species {descriptor}?
blueprint,blueprint,bioinformatics_software_developer,Life Sciences,Organization,which_company_developed_bioinformatics_software,Q7397,software,P577,P178,developer,entity,,single_fact,Which company developed the bioinformatics software {descriptor}?
blueprint,blueprint,biology_article_journal,Life Sciences,Organization,which_journal_published_biology_article,Q13442814,scholarly article,P577,P1433,published in,entity,,single_fact,In which journal was the biology article {descriptor} published?
blueprint,blueprint,biobank_country,Life Sciences,Place,which_country_biobank_located,Q4915012,biobank,P571,P17,country,entity,,single_fact,In which country is the biobank {descriptor} located?
blueprint,blueprint,medicine_active_ingredient,Medicine and Health,Other,what_active_ingredient_medicine,Q12140,medication,P577,P3781,active ingredient in pharmaceutical product,entity,,single_fact,What is the main active ingredient in the medicine {descriptor}?
blueprint,blueprint,vaccine_developer,Medicine and Health,Organization,which_company_developed_vaccine,Q877194,vaccine,P577,P178,developer,entity,,single_fact,Which company developed the vaccine {descriptor}?
blueprint,blueprint,hospital_country,Medicine and Health,Place,which_country_hospital_located,Q16917,hospital,P571,P17,country,entity,,single_fact,In which country is the hospital {descriptor} located?
blueprint,blueprint,clinical_guideline_author,Medicine and Health,Organization,which_body_wrote_guideline,Q617602,clinical guideline,P577,P50,author,entity,,single_fact,Which organization wrote the guideline {descriptor}?
blueprint,blueprint,medical_device_manufacturer,Medicine and Health,Organization,which_company_made_medical_device,Q174784,medical device,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the medical device {descriptor}?
blueprint,blueprint,spacecraft_operator,"Earth, Environment, and Space",Organization,which_agency_operates_spacecraft,Q40218,spacecraft,P577,P137,operator,entity,,single_fact,Which agency operates the spacecraft {descriptor}?
blueprint,blueprint,space_mission_launch_site,"Earth, Environment, and Space",Place,where_space_mission_launched,Q2133344,space mission,P585,P1427,start point,entity,,single_fact,From where was {descriptor} launched?
blueprint,blueprint,climate_report_author,"Earth, Environment, and Space",Organization,which_body_wrote_report,Q10870555,report,P577,P50,author,entity,,single_fact,Which organization wrote the report {descriptor}?
blueprint,blueprint,satellite_manufacturer,"Earth, Environment, and Space",Organization,which_company_built_satellite,Q2537,artificial satellite,P577,P176,manufacturer,entity,,single_fact,Which company built the satellite {descriptor}?
blueprint,blueprint,environmental_project_lead,"Earth, Environment, and Space",Person,who_led_environment_project,Q170584,project,P571,P1037,director / manager,entity,,single_fact,Who led the project {descriptor}?
blueprint,blueprint,ai_model_developer,Computer Science and AI,Organization,which_company_developed_model,Q7397,software,P577,P178,developer,entity,,single_fact,Which company developed the model {descriptor}?
blueprint,blueprint,programming_language_designer,Computer Science and AI,Person,who_designed_programming_language,Q9143,programming language,P577,P287,designed by,entity,,single_fact,Who designed the programming language {descriptor}?
blueprint,blueprint,framework_license,Computer Science and AI,Other,what_license_framework,Q271680,software framework,P577,P275,copyright license,entity,,single_fact,What license does the framework {descriptor} use?
blueprint,blueprint,dataset_creator_ai,Computer Science and AI,Person,who_created_ai_dataset,Q1172284,dataset,P577,P170,creator,entity,,single_fact,Who created the dataset {descriptor}?
blueprint,blueprint,paper_conference_ai,Computer Science and AI,Organization,which_conference_published_ai_paper,Q13442814,scholarly article,P577,P1433,published in,entity,,single_fact,At which venue was the AI paper {descriptor} published?
blueprint,blueprint,benchmark_release_date,Computer Science and AI,Date,when_benchmark_released,Q1172284,dataset,P577,P577,publication date,date,day,single_fact,On what date was the benchmark {descriptor} released?
blueprint,blueprint,device_manufacturer,Engineering and Technology,Organization,which_company_made_device,Q1183543,device,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the device {descriptor}?
blueprint,blueprint,robot_creator,Engineering and Technology,Person,who_created_robot,Q11012,robot,P571,P170,creator,entity,,single_fact,Who created the robot {descriptor}?
blueprint,blueprint,invention_patent_holder,Engineering and Technology,Organization,which_company_holds_patent,Q253623,patent,P577,P127,owned by,entity,,single_fact,Which company owns the patent {descriptor}?
blueprint,blueprint,vehicle_designer,Engineering and Technology,Person,who_designed_vehicle,Q42889,vehicle,P577,P287,designed by,entity,,single_fact,Who designed the vehicle {descriptor}?
blueprint,blueprint,chip_architecture_designer,Engineering and Technology,Organization,which_company_designed_chip_architecture,Q11426,microprocessor,P577,P287,designed by,entity,,single_fact,Which company designed the chip {descriptor}?
blueprint,blueprint,product_release_date,Engineering and Technology,Date,when_product_released,Q2424752,product,P577,P577,publication date,date,day,single_fact,On what date was the product {descriptor} released?
blueprint,blueprint,rail_station_country,Architecture and Transportation,Place,which_country_station_located_arch,Q55488,railway station,P571,P17,country,entity,,single_fact,In which country is the railway station {descriptor} located?
blueprint,blueprint,bridge_architect,Architecture and Transportation,Person,who_designed_bridge,Q12280,bridge,P571,P84,architect,entity,,single_fact,Who designed the bridge {descriptor}?
blueprint,blueprint,port_operator,Architecture and Transportation,Organization,which_company_operates_port,Q44782,port,P571,P137,operator,entity,,single_fact,Which organization operates the port {descriptor}?
blueprint,blueprint,train_manufacturer,Architecture and Transportation,Organization,which_company_built_train,Q870,train,P577,P176,manufacturer,entity,,single_fact,Which company built the train {descriptor}?
blueprint,blueprint,terminal_opening_date,Architecture and Transportation,Date,when_terminal_opened,Q55488,terminal,P571,P571,inception,date,day,single_fact,On what date did the terminal {descriptor} open?
blueprint,blueprint,beverage_manufacturer,"Food, Agriculture, and Daily Life",Organization,which_company_made_beverage,Q40050,beverage,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the beverage {descriptor}?
blueprint,blueprint,food_product_country_of_origin,"Food, Agriculture, and Daily Life",Place,which_country_food_origin,Q2095,food,P577,P495,country of origin,entity,,single_fact,Which country is the food product {descriptor} from?
blueprint,blueprint,crop_variety_developer,"Food, Agriculture, and Daily Life",Organization,which_org_developed_crop_variety,Q11004,crop,P577,P178,developer,entity,,single_fact,Which organization developed the crop variety {descriptor}?
blueprint,blueprint,kitchen_appliance_manufacturer,"Food, Agriculture, and Daily Life",Organization,which_company_made_appliance,Q260521,kitchen appliance,P577,P176,manufacturer,entity,,single_fact,Which company manufactured the kitchen appliance {descriptor}?
blueprint,blueprint,restaurant_founder,"Food, Agriculture, and Daily Life",Person,who_founded_restaurant,Q11707,restaurant,P571,P112,founder,entity,,single_fact,Who founded the restaurant {descriptor}?
blueprint,blueprint,paper_author_count,Physical Sciences,Number,how_many_authors_paper,Q13442814,scholarly article,P577,P50,author,number,,fact_join,How many authors wrote the article {descriptor}?
blueprint,blueprint,math_article_author_count,Mathematics,Number,how_many_authors_math_article,Q13442814,scholarly article,P577,P50,author,number,,fact_join,How many authors wrote the mathematics article {descriptor}?
blueprint,blueprint,biology_article_author_count,Life Sciences,Number,how_many_authors_biology_article,Q13442814,scholarly article,P577,P50,author,number,,fact_join,How many authors wrote the biology article {descriptor}?
blueprint,blueprint,guideline_author_count,Medicine and Health,Number,how_many_authors_guideline,Q617602,clinical guideline,P577,P50,author,number,,fact_join,How many authors wrote the guideline {descriptor}?
blueprint,blueprint,report_author_count,"Earth, Environment, and Space",Number,how_many_authors_report,Q10870555,report,P577,P50,author,number,,fact_join,How many authors wrote the report {descriptor}?
blueprint,blueprint,album_track_count,Arts and Media,Number,how_many_tracks_album,Q482994,album,P577,P658,tracklist,number,,fact_join,How many tracks are on the album {descriptor}?
blueprint,blueprint,story_collection_story_count,Language and Literature,Number,how_many_stories_collection,Q13136,short story collection,P577,P527,has part,number,,fact_join,How many stories are in the collection {descriptor}?
blueprint,blueprint,company_founder_count,Economy and Business,Number,how_many_founders_company,Q783794,company,P571,P112,founder,number,,fact_join,How many founders did the company {descriptor} have?
blueprint,blueprint,startup_founder_count,Economy and Business,Number,how_many_founders_startup,Q4830453,business,P571,P112,founder,number,,fact_join,How many founders did the startup {descriptor} have?
blueprint,blueprint,treaty_signatory_count,Politics and Law,Number,how_many_signatories_treaty,Q131569,treaty,P577,P17,country,number,,fact_join,How many signatories did the treaty {descriptor} have?
blueprint,blueprint,festival_day_count,Society and Culture,Number,how_many_days_festival,Q132241,festival,P585,P580,start time,number,,fact_join,How many days did {descriptor} last?
blueprint,blueprint,spacecraft_crew_count,"Earth, Environment, and Space",Number,how_many_crew_spacecraft,Q40218,spacecraft,P577,P1029,crew member,number,,fact_join,How many crew members were on {descriptor}?
blueprint,blueprint,spacecraft_payload_count,"Earth, Environment, and Space",Number,how_many_payloads_spacecraft,Q40218,spacecraft,P577,P527,has part,number,,fact_join,How many payloads did {descriptor} carry?
blueprint,blueprint,rover_wheel_count,Engineering and Technology,Number,how_many_wheels_rover,Q11012,robot,P571,P527,has part,number,,fact_join,How many wheels does the rover {descriptor} have?
blueprint,blueprint,patent_inventor_count,Engineering and Technology,Number,how_many_inventors_patent,Q253623,patent,P577,P61,discoverer or inventor,number,,fact_join,How many inventors are listed on the patent {descriptor}?
blueprint,blueprint,bridge_span_count,Architecture and Transportation,Number,how_many_spans_bridge,Q12280,bridge,P571,P527,has part,number,,fact_join,How many spans does the bridge {descriptor} have?
blueprint,blueprint,building_floor_count,Architecture and Transportation,Number,how_many_floors_building,Q41176,building,P571,P1101,number of floors above ground,number,,single_fact,How many floors does the building {descriptor} have?
blueprint,blueprint,sports_event_host_count,Sports and Recreation,Number,how_many_host_cities_event,Q16510064,sports competition,P585,P276,location,number,,fact_join,How many host locations were used for {descriptor}?
blueprint,blueprint,textbook_editor_count,Education,Number,how_many_editors_textbook,Q571,textbook,P577,P98,editor,number,,fact_join,How many editors worked on the textbook {descriptor}?
blueprint,blueprint,medicine_ingredient_count,Medicine and Health,Number,how_many_active_ingredients_medicine,Q12140,medication,P577,P3781,active ingredient in pharmaceutical product,number,,fact_join,How many active ingredients are in the medicine {descriptor}?
blueprint,blueprint,dataset_language_count,Computer Science and AI,Number,how_many_languages_dataset,Q1172284,dataset,P577,P407,language of work or name,number,,fact_join,How many languages are represented in the dataset {descriptor}?
blueprint,blueprint,project_partner_count,Engineering and Technology,Number,how_many_partners_project,Q170584,project,P571,P749,parent organization,number,,fact_join,How many partner organizations were involved in the project {descriptor}?
blueprint,blueprint,ordinal_country_president,Politics and Law,Person,who_was_ordinal_president,Q6256,country,P585,P39,position held,entity,,ordinal_fact,Who was the {ordinal} president of {descriptor}?
blueprint,blueprint,ordinal_country_prime_minister,Politics and Law,Person,who_was_ordinal_prime_minister,Q6256,country,P585,P39,position held,entity,,ordinal_fact,Who was the {ordinal} prime minister of {descriptor}?
blueprint,blueprint,ordinal_tournament_winner,Sports and Recreation,Person,who_won_ordinal_tournament,Q132241,tournament,P585,P1346,winner,entity,,ordinal_fact,Who won the {ordinal} edition of {descriptor}?
blueprint,blueprint,ordinal_tournament_host_city,Sports and Recreation,Place,which_city_hosted_ordinal_tournament,Q132241,tournament,P585,P131,located in administrative territorial entity,entity,,ordinal_fact,Which city hosted the {ordinal} edition of {descriptor}?
blueprint,blueprint,ordinal_religious_leader,Philosophy and Religion,Person,who_was_ordinal_religious_leader,Q246434,religious office,P580,P39,position held,entity,,ordinal_fact,Who was the {ordinal} leader of {descriptor}?
blueprint,blueprint,ordinal_university_chancellor,Education,Person,who_was_ordinal_university_chancellor,Q3918,university,P585,P39,position held,entity,,ordinal_fact,Who was the {ordinal} chancellor of {descriptor}?
blueprint,blueprint,ordinal_company_ceo,Economy and Business,Person,who_was_ordinal_company_ceo,Q783794,company,P585,P169,chief executive officer,entity,,ordinal_fact,Who was the {ordinal} chief executive officer of {descriptor}?
blueprint,blueprint,ordinal_space_mission_commander,"Earth, Environment, and Space",Person,who_was_ordinal_space_mission_commander,Q2133344,space mission,P585,P1037,director / manager,entity,,ordinal_fact,Who was the {ordinal} commander associated with {descriptor}?
blueprint,blueprint,ordinal_film_in_series_director,Arts and Media,Person,who_directed_ordinal_film_in_series,Q24856,film series,P577,P57,director,entity,,ordinal_fact,Who directed the {ordinal} film in the series {descriptor}?
blueprint,blueprint,ordinal_volume_author,Language and Literature,Person,who_wrote_ordinal_volume,Q571,book series,P577,P50,author,entity,,ordinal_fact,Who wrote the {ordinal} volume in the series {descriptor}?
