domain	template	canonical_question	status	activation_status	original_status	latest_live_status	best_known_semantic_status	successful_generated_question
Arts and Media	film_source_work_author	Who wrote the work that the film {descriptor} was based on?	proven	multi_hop_pilot	proven	proven	proven	Who wrote the work that the film All You Need Is Kill was based on?
Arts and Media	manga_author	Who wrote the manga {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the manga The Fragrant Flower Blooms with Dignity?
Arts and Media	music_video_director	Who directed the music video {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	opera_composer	Who composed the opera {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	ordinal_film_in_series_director	Who directed the {ordinal} film in the series {descriptor}?	proven	blueprint	proven	proven	proven	Who directed the 15th film in the series The Strangers?
Arts and Media	podcast_host	Who hosts the podcast {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	theater_location	In which country is the theatre {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	tv_series_creator	Who created the television series {descriptor}?	error	blueprint	error	error	error	
Arts and Media	tv_series_source_work_author	Who wrote the work that the television series {descriptor} was based on?	proven	blueprint	proven	proven	proven	Who wrote the work that the television series Tune In to the Midnight Heart was based on?
Computer Science and AI	ai_model_developer	Which company developed the model {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	benchmark_release_date	On what day, month, and year was the benchmark {descriptor} released?	proven	date_answer_pilot	proven	proven	proven	On what day, month, and year was the benchmark UA Administrative Codes released?
Computer Science and AI	company_that_developed_benchmark_founder	Who founded the organization that developed the benchmark {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	database_system_developer	Which company developed the database system {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	dataset_creator_ai	Who created the dataset {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Computer Science and AI	dataset_language_count	How many languages are represented in the dataset {descriptor}?	frozen	frozen	error	error	error	
Computer Science and AI	framework_license	What license does the framework {descriptor} use?	proven	blueprint	proven	proven	proven	What license does the framework S&box use?
Computer Science and AI	operating_system_developer	Which company developed the operating system {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	paper_conference_ai	At which venue was the AI paper {descriptor} published?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Computer Science and AI	programming_language_designer	Who designed the programming language {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	software_developer	Which company developed the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Which company developed the software GPT-5.4?
Computer Science and AI	software_license	What license does the software {descriptor} use?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Computer Science and AI	video_game_developer	Which company developed the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Which company developed the fan disc Memories Off Sōsō: Break out of my shell?
Earth, Environment, and Space	climate_report_author	Which organization wrote the report {descriptor}?	proven	blueprint	proven	proven	proven	Which organization wrote the report From Construction to Marginalization?
Earth, Environment, and Space	environmental_project_lead	Who led the project {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	ordinal_space_mission_commander	Who was the {ordinal} commander associated with {descriptor}?	frozen	frozen	error	error	error	
Earth, Environment, and Space	report_author_count	How many authors wrote the report {descriptor}?	proven	blueprint	proven	proven	proven	How many authors wrote the report Strangers: A Memoir of Marriage?
Earth, Environment, and Space	report_publisher	Which publisher released the report {descriptor}?	proven	blueprint	proven	proven	proven	Which publisher released the report Antifragility Sales Indonesia?
Earth, Environment, and Space	satellite_manufacturer	Which company built the satellite {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	satellite_operator	Which agency operates the satellite {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	space_mission_launch_site	From where was {descriptor} launched?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	spacecraft_crew_count	How many crew members were on {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	spacecraft_operator	Which agency operates the spacecraft {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Earth, Environment, and Space	spacecraft_payload_count	How many payloads did {descriptor} carry?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Economy and Business	acquisition_purchase_price	How many dollars did {acquirer_label} spend to acquire {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Economy and Business	company_founded_country	In which country was the company {descriptor} founded?	proven	blueprint	proven	proven	proven	In which country was the company Crezia Solutions Co., Ltd. founded?
Economy and Business	company_founder	Who founded the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Who founded the company Syrn?
Economy and Business	company_founder_count	How many founders did the company {descriptor} have?	proven	blueprint	proven	proven	proven	How many founders did the company ORBIS AI have?
Economy and Business	company_parent_organization	Which organization is the parent of the company {descriptor}?	proven	blueprint	proven	proven	proven	Which organization is the parent of the company Egger Ventures?
Economy and Business	company_that_released_product_founder	Who founded the company that released the product {descriptor}?	error	blueprint	error	error	error	
Economy and Business	exchange_operator	Which company operates the exchange {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Economy and Business	ordinal_company_ceo	Who was the {ordinal} chief executive officer of {descriptor}?	proven	blueprint	proven	proven	proven	Who was the 2nd chief executive officer of SYENSQO?
Economy and Business	product_manufacturer	Which company manufactured the product {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Economy and Business	startup_founder	Who founded the startup {descriptor}?	proven	blueprint	proven	proven	proven	Who founded the startup Absolute Value?
Economy and Business	startup_founder_count	How many founders did the startup {descriptor} have?	proven	blueprint	proven	proven	proven	How many founders did the startup Charred Pictures have?
Economy and Business	stock_exchange_country	In which country is the stock exchange {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Education	curriculum_author	Who wrote the curriculum {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Education	degree_granting_university	Which university grants the degree {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Education	graduate_before_employer	From which university did {descriptor} graduate before working at {employer_label}?	frozen	frozen	error	error	error	
Education	ordinal_university_chancellor	Who was the {ordinal} chancellor of {descriptor}?	frozen	frozen	error	error	error	
Education	school_founder	Who founded the school {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Education	textbook_author	Who wrote the textbook {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Education	textbook_editor_count	How many editors worked on the textbook {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Education	textbook_publisher	Which publisher released the textbook {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Education	university_country	In which country is the university {descriptor} located?	error	blueprint	error	error	error	
Engineering and Technology	aircraft_manufacturer	Which company built the aircraft {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	battery_manufacturer	Which company manufactured the battery {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	chip_architecture_designer	Which company designed the chip {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	device_manufacturer	Which company manufactured the device {descriptor}?	proven	blueprint	proven	proven	proven	Which company manufactured the device MacBook Neo?
Engineering and Technology	engine_designer	Who designed the engine {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	patent_inventor_count	How many inventors are listed on the patent {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	product_release_date	On what day, month, and year was the product {descriptor} released?	proven	date_answer_pilot	proven	proven	proven	On what day, month, and year was the product Honor Power2 released?
Engineering and Technology	project_partner_count	How many partner organizations were involved in the project {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	robot_creator	Who created the robot {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	rover_wheel_count	How many wheels does the rover {descriptor} have?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Engineering and Technology	vehicle_designer	Who designed the vehicle {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Food, Agriculture, and Daily Life	beverage_manufacturer	Which company manufactured the beverage {descriptor}?	error	blueprint	error	error	error	
Food, Agriculture, and Daily Life	cookbook_author	Who wrote the cookbook {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the cookbook Zürich POP (german)?
Food, Agriculture, and Daily Life	crop_variety_developer	Which organization developed the crop variety {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Food, Agriculture, and Daily Life	kitchen_appliance_manufacturer	Which company manufactured the kitchen appliance {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Food, Agriculture, and Daily Life	restaurant_founder	Who founded the restaurant {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Geography	new_airport_serves_city	Which city includes the airport {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Geography	new_bridge_crosses	What body of water does the bridge {descriptor} cross?	proven	blueprint	proven	proven	proven	What body of water does the bridge Portal North Bridge cross?
Geography	new_dam_country	In which country is the dam {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the dam Hailuoto fixed link located?
Geography	new_metro_station_country	In which country is the metro station {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the metro station Sennaya (metro Nizhny Novgorod) located?
Geography	new_nature_reserve_country	In which country is the nature reserve {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Geography	new_park_country	In which country is the park {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the park PokéPark Kanto located?
Geography	new_trail_country	In which country is the trail {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the trail réserve naturelle régionale du Tertre des Canaux located?
Language and Literature	book_original_language	What language was the {subject_kind} {descriptor} originally written in?	proven	active	proven	proven	proven	What language was the book ACHE: What Kind of Life Is This? originally written in?
Language and Literature	book_publisher	Which publisher released the book {descriptor}?	proven	blueprint	proven	proven	proven	Which publisher released the book Born sick in the USA : improving the health of a nation?
Language and Literature	essay_collection_author	Who wrote the essay collection {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the essay collection “Real men go to Tehran” — The Zion-Con fantasy of regime change in Iran?
Language and Literature	literary_magazine_country	In which country is the magazine {descriptor} based?	error	blueprint	error	error	error	
Language and Literature	newspaper_country	In which country is the newspaper {descriptor} based?	proven	blueprint	proven	proven	proven	In which country is the newspaper Off The Record (fragrance publication) based?
Language and Literature	novel_author	Who wrote the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Who wrote the novel Murder on the Indigo Sea?
Language and Literature	novella_original_language	What language was the novella {descriptor} originally written in?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Language and Literature	ordinal_volume_author	Who wrote the {ordinal} volume in the series {descriptor}?	frozen	frozen	error	error	error	
Language and Literature	play_author	Who wrote the play {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the play Mamyne namysto?
Language and Literature	poem_author	Who wrote the poem {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Language and Literature	poetry_collection_author	Who wrote the poetry collection {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Language and Literature	story_collection_story_count	How many stories are in the collection {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Life Sciences	biobank_country	In which country is the biobank {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Life Sciences	bioinformatics_software_developer	Which company developed the bioinformatics software {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Life Sciences	biology_article_journal	In which journal was the biology article {descriptor} published?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Life Sciences	genome_project_lead_org	Which organization led the genome project {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Life Sciences	species_described_by	Who first described the species {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Life Sciences	species_parent_taxon	What is the parent taxon of {descriptor}?	error	blueprint	error	error	error	
Life Sciences	taxonomy_database_creator	Who created the taxonomy dataset {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Mathematics	dataset_creator_math	Who created the dataset {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Mathematics	math_article_main_subject	What is the main subject of the mathematics article {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Mathematics	math_award_presenter	Which organization confers the mathematics award {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Mathematics	math_paper_journal	In which journal was the mathematics article {descriptor} published?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Mathematics	math_software_developer	Which company developed the mathematics software {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Mathematics	math_textbook_author	Who wrote the mathematics book {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Medicine and Health	clinical_guideline_author	Which organization wrote the guideline {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	clinical_guideline_publisher	Which publisher released the guideline {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	guideline_author_count	How many authors wrote the guideline {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	hospital_country	In which country is the hospital {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the hospital Assi-sairaala located?
Medicine and Health	medical_device_manufacturer	Which company manufactured the medical device {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	medical_school_country	In which country is the medical school {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Medicine and Health	medicine_active_ingredient	What is the main active ingredient in the medicine {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	medicine_ingredient_count	How many active ingredients are in the medicine {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Medicine and Health	vaccine_developer	Which company developed the vaccine {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
People	biography_birth_place_recent_subject	Where was {descriptor} born?	frozen	frozen	error	error	error	
People	biography_native_language_recent_subject	What is the native language of {descriptor}?	frozen	frozen	error	error	error	
People	biography_notable_work_recent_subject	What is a notable work by {descriptor}?	frozen	frozen	error	error	error	
People	biography_occupation_recent_subject	What is the occupation of {descriptor}?	frozen	frozen	error	error	error	
People	biography_place_of_death_recent_subject	Where did {descriptor} die?	frozen	frozen	error	error	error	
People	ordinal_spouse	Who was the {ordinal} spouse of {descriptor}?	frozen	frozen	error	error	error	
People	person_birth_date	On what day, month, and year was {descriptor} born?	error	blueprint	error	error	error	
People	person_death_date	On what day, month, and year did {descriptor} die?	error	blueprint	error	error	error	
People	person_first_degree_university	From which university did {descriptor} receive a first degree?	proven	multi_hop_pilot	proven	proven	proven	From which university did Naomi C Futhey receive a first degree?
People	wedding_age_gap	What was the age gap between the couple in {descriptor}?	frozen	frozen	error	error	error	
Philosophy and Religion	church_country	In which country is the church {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Philosophy and Religion	encyclical_author	Who wrote the encyclical {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Philosophy and Religion	monastery_country	In which country is the monastery {descriptor} located?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Philosophy and Religion	ordinal_religious_leader	Who was the {ordinal} leader of {descriptor}?	frozen	frozen	error	error	error	
Philosophy and Religion	philosophy_book_author	Who wrote the philosophy book {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the philosophy book Scientific Illuminism?
Philosophy and Religion	religious_leader_successor	Who succeeded {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Philosophy and Religion	religious_text_language	What language was the religious text {descriptor} originally written in?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Philosophy and Religion	temple_country	In which country is the temple {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Physical Sciences	chemistry_article_journal	In which journal was the chemistry article {descriptor} published?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Physical Sciences	instrument_manufacturer	Which company manufactured the instrument {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Physical Sciences	paper_author_count	How many authors wrote the article {descriptor}?	proven	blueprint	proven	proven	proven	How many authors wrote the article The Epistemic Erosion Spiral: How Clinical Drift Erodes Social Work’s Legitimacy?
Physical Sciences	physical_science_dataset_creator	Who created the physical science dataset {descriptor}?	proven	blueprint	proven	proven	proven	Who created the physical science dataset Objective Projection Dataset?
Physical Sciences	physics_book_author	Who wrote the physics book {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Physical Sciences	scholarly_article_journal	In which journal was the {subject_kind} {descriptor} published?	proven	active	proven	proven	proven	In which journal was the academic work Library Social Work: The Overlooked Macro Practice Opportunity published?
Physical Sciences	scientific_instrument_operator	Which organization operates the scientific instrument {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Physical Sciences	space_telescope_operator	Which agency operates the telescope {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Physical Sciences	spacecraft_manufacturer	Which company built the spacecraft {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Politics and Law	constitution_jurisdiction	To which jurisdiction does the constitution {descriptor} apply?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Politics and Law	court_case_court	Which court decided the case {descriptor}?	proven	blueprint	proven	proven	proven	Which court decided the case Sendaviva case?
Politics and Law	government_agency_jurisdiction	To which jurisdiction does the government agency {descriptor} apply?	proven	blueprint	proven	proven	proven	To which jurisdiction does the government agency Royal Commission on Antisemitism and Social Cohesion apply?
Politics and Law	law_jurisdiction	In which jurisdiction does the law {descriptor} apply?	proven	blueprint	proven	proven	proven	In which jurisdiction does the law Federal Career Regulation apply?
Politics and Law	law_legislature	Which legislature enacted the law {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Politics and Law	ordinal_country_president	Who was the {ordinal} president of {descriptor}?	frozen	frozen	error	error	error	
Politics and Law	ordinal_country_prime_minister	Who was the {ordinal} prime minister of {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Politics and Law	policy_department	Which department issued the policy {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Politics and Law	treaty_signatory_count	How many signatories did the treaty {descriptor} have?	proven	blueprint	proven	proven	proven	How many signatories did the treaty Hansa Arrangement have?
Politics and Law	treaty_signatory_country	Which country is associated with the treaty {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Society and Culture	award_conferred_by	Which organization confers the award {descriptor}?	proven	blueprint	proven	proven	proven	Which organization confers the award Academy Award for Achievement in Casting?
Society and Culture	event_venue	Where was {descriptor} held?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	rejected_only	
Society and Culture	exhibition_museum	Which museum hosted the exhibition {descriptor}?	proven	blueprint	proven	proven	proven	"Which museum hosted the exhibition ""Archaeological sites of Africa, Asia and Latin America""?"
Society and Culture	festival_day_count	How many days did {descriptor} last?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Society and Culture	festival_host_city	Which city hosted {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Society and Culture	heritage_site_country	In which country is the heritage site {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Society and Culture	library_country	In which country is the library {descriptor} located?	proven	blueprint	proven	proven	proven	In which country is the library Digital Ad Archive located?
Society and Culture	museum_country	In which country is the {subject_kind} {descriptor} located?	proven	active	proven	proven	proven	In which country is the museum The Apple Museum located?
Society and Culture	museum_founder	Who founded the museum {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Sports and Recreation	club_founder	Who founded the club {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Sports and Recreation	competition_venue	Where was {descriptor} held?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
Sports and Recreation	footballer_goals_in_ordinal_tournament	How many goals did {player_label} score in the {ordinal} edition of {descriptor}?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Sports and Recreation	ordinal_tournament_host_city	Which city hosted the {ordinal} edition of {descriptor}?	proven	blueprint	proven	proven	proven	Which city hosted the 80th edition of Copa del Rey de Baloncesto?
Sports and Recreation	ordinal_tournament_host_country	Which country hosted the {ordinal} edition of {descriptor}?	untracked	blueprint	untracked	untracked	untracked	
Sports and Recreation	ordinal_tournament_winner	Who won the {ordinal} edition of {descriptor}?	proven	multi_hop_pilot	proven	proven	proven	Who won the 10th edition of NCAA Division III football?
Sports and Recreation	sports_event_host_count	How many host locations were used for {descriptor}?	frozen	frozen	error	error	error	
Sports and Recreation	sports_league_operator	Which organization operates the league {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Sports and Recreation	sports_team_home_venue	At which venue does the team {descriptor} play home matches?	proven	blueprint	proven	proven	proven	At which venue does the team Zamora F.C B play home matches?
Sports and Recreation	sports_venue_city	Which city includes the sports venue {descriptor}?	proven	blueprint	proven	proven	proven	Which city includes the sports venue New Nissan Stadium?
Sports and Recreation	stadium_architect	Who designed the stadium {descriptor}?	error	blueprint	error	error	error	
Sports and Recreation	tournament_host_country	Which country hosted {descriptor}?	rejected_only	blueprint	rejected_only	rejected_only	rejected_only	
